,class,total_correct,total_incorrect,total,accuracy
0,11082_Xerocomellus_chrysenteron,2,404,406,0.0049261083743842365
1,12919_Cylindrobasidium_laeve,285,79,364,0.782967032967033
2,14064_Fomitopsis_pinicola,1,328,329,0.00303951367781155
3,14160_Ganoderma_pfeifferi,5,337,342,0.014619883040935672
4,17233_Mycena_galericulata,2,374,376,0.005319148936170213
5,20983_Trametes_versicolor,0,313,313,0.0
6,21143_Tricholoma_scalpturatum,2,412,414,0.004830917874396135
7,40392_Armillaria_lutea,6,346,352,0.017045454545454544
8,40985_Byssomerulius_corium,23,351,374,0.06149732620320856
9,61207_Coprinellus_micaceus,0,340,340,0.0
